player,pos,g,ast_per_game,blk_per_game,drb_per_game,e_fg_percent,fg_per_game,fg_percent,fga_per_game,ft_per_game,ft_percent,fta_per_game,gs,mp_per_game,orb_per_game,pf_per_game,pts_per_game,stl_per_game,tov_per_game,trb_per_game,x2p_per_game,x2p_percent,x2pa_per_game,x3p_per_game,x3p_percent,x3pa_per_game,all_star_selections,major_award_count,278.225,210.797,267.271
Al Butler,PG,234,2.282,0,0,0.428,3.964,0.428,9.046,1.783,0.74,2.448,0,21.595,0,2.109,9.774,0,0,2.965,3.964,0.428,9.046,0,0,0,0,0,,,
Andy Johnson,SF,292,2.293,0,0,0.389,3.712,0.389,9.479,2.34,0.6,3.888,0,23.182,0,2.981,9.764,0,0,4.092,3.712,0.389,9.479,0,0,0,0,0,,,
John Mengelt,SG,636,2.094,0.057,1.083,0.479,3.797,0.479,7.935,2.188,0.805,2.677,0,20.089,0.318,2.035,9.758,0.507,0.436,1.926,3.797,0.48,7.924,0,0,0.011,0,0,,,
Rajon Rondo,PG,957,7.93,0.137,3.601,0.481,4.062,0.452,8.913,1.176,0.617,1.914,51.275,29.851,0.957,2.083,9.754,1.583,2.697,4.534,3.585,0.476,7.453,0.477,0.297,1.449,4,0,,,
Bobby Jackson,PG,755,2.567,0.106,2.28,0.466,3.641,0.416,8.734,1.498,0.79,1.91,12.597,22.244,0.828,1.827,9.749,0.941,1.334,3.099,2.729,0.443,6.164,0.909,0.342,2.571,0,1,,,
Louis Orr,SF,569,1.495,0.284,2.138,0.461,3.745,0.46,7.962,2.254,0.776,2.888,24.065,23.46,1.594,1.997,9.743,0.799,1.373,3.711,3.734,0.464,7.923,0,0.054,0.067,0,0,,,
Marco Belinelli,SG,860,1.666,0.079,1.831,0.509,3.427,0.422,8.086,1.456,0.841,1.725,17.937,22.736,0.213,1.402,9.729,0.556,0.986,2.044,2.011,0.461,4.331,1.425,0.378,3.754,0,0,,,
Talen Horton-Tucker,SG,250,3.106,0.388,2.311,0.468,3.602,0.42,8.534,1.654,0.771,2.161,13.068,20.941,0.496,1.97,9.728,0.871,1.547,2.81,2.786,0.483,5.677,0.844,0.287,2.833,0,0,,,
Gerald Green,SG,658,0.894,0.305,2.013,0.497,3.521,0.414,8.422,1.252,0.816,1.537,12.796,19.801,0.476,1.866,9.727,0.531,1.117,2.505,2.052,0.472,4.361,1.47,0.353,4.047,0,0,,,
Leroy Ellis,C,1048,1.336,0.148,1.012,0.444,3.963,0.444,8.969,1.807,0.725,2.471,0,26.267,0.51,2.554,9.727,0.141,0,8.326,3.963,0.444,8.969,0,0,0,0,0,,,
Jim Baechtold,SF,321,2.122,0,0,0.386,3.469,0.386,8.953,2.777,0.777,3.553,0,25.708,0,2.483,9.726,0,0,3.138,3.469,0.386,8.953,0,0,0,0,0,,,
Simmie Hill,SF,252,1.309,0.071,3.392,0.444,4.001,0.438,9.252,1.606,0.759,2.098,0,23.19,1.904,3.163,9.715,0.048,1.953,5.296,3.87,0.447,8.748,0.158,0.228,0.503,0,0,,,
Aaron Brooks,PG,645,2.981,0.14,1.287,0.487,3.505,0.411,8.497,1.441,0.826,1.695,21.566,20.847,0.396,1.878,9.711,0.564,1.552,1.67,2.229,0.444,5.028,1.259,0.366,3.437,0,1,,,
Delonte West,SG,432,3.575,0.419,2.452,0.5,3.706,0.447,8.28,1.423,0.818,1.75,37.556,27.42,0.509,1.924,9.711,1.083,1.615,2.939,2.832,0.479,5.943,0.86,0.365,2.354,0,0,,,
Greg Kelser,SF,305,1.351,0.502,2.598,0.49,3.59,0.489,7.38,2.507,0.684,3.659,9.836,19.79,2.011,2.954,9.703,0.813,2.156,4.584,3.574,0.493,7.32,0.016,0.12,0.107,0,0,,,
Dennis Smith Jr.,PG,326,4.238,0.343,2.299,0.449,3.738,0.407,9.224,1.345,0.678,2.005,26.963,23.314,0.638,2.085,9.702,1.151,1.933,2.969,2.932,0.455,6.44,0.829,0.284,2.768,0,0,,,
Kyle Korver,SF,1232,1.713,0.323,2.678,0.574,3.34,0.44,7.536,1.055,0.866,1.2,26.149,25.311,0.273,2.049,9.701,0.658,1.041,2.963,1.335,0.463,2.896,1.989,0.428,4.638,1,0,,,
Allonzo Trier,SG,88,1.709,0.2,2.164,0.518,3.191,0.457,7.091,2.418,0.8,3.036,2.455,19.882,0.445,1.636,9.7,0.318,1.555,2.582,2.391,0.504,4.964,0.8,0.384,2.127,0,0,,,
Sharone Wright,C,203,0.599,0.995,2.982,0.453,3.858,0.452,8.39,2.045,0.6,3.335,38.015,22.338,2.052,2.765,9.694,0.424,1.756,5.037,3.83,0.455,8.323,0,0.094,0.067,0,0,,,
Charles Oakley,PF,1282,2.513,0.301,6.463,0.472,3.764,0.47,8.01,2.085,0.769,2.746,67.637,31.422,3.067,3.437,9.69,1.051,2.166,9.522,3.718,0.475,7.794,0.046,0.143,0.194,1,0,,,
Anthony Peeler,SG,827,2.384,0.161,1.918,0.496,3.762,0.428,8.751,1.059,0.806,1.329,22.438,24.737,0.688,2.03,9.687,0.94,1.227,2.568,2.63,0.446,5.815,1.141,0.388,2.968,0,0,,,
Malaki Branham,SF,146,1.965,0.11,1.93,0.509,3.826,0.439,8.752,0.808,0.853,0.956,29.363,22.065,0.386,1.457,9.679,0.459,1.207,2.316,2.612,0.515,5.044,1.214,0.334,3.708,0,0,,,
Oliver Taylor,SG,262,2.399,0.024,2.537,0.465,3.372,0.46,7.424,2.852,0.685,4.222,0,23.459,1.664,2.673,9.678,0.071,2.22,4.139,3.334,0.467,7.139,0.095,0.239,0.315,0,0,,,
Patrick Williams,PF,218,1.319,0.744,3.228,0.54,3.641,0.467,7.839,1.228,0.786,1.581,54.307,27.697,0.996,1.796,9.677,0.871,1.266,4.225,2.471,0.495,5.037,1.17,0.411,2.802,0,0,,,
Jim Spanarkel,SG,259,2.194,0.144,1.383,0.474,3.253,0.47,6.949,3.118,0.842,3.656,1.058,20.437,1.156,1.908,9.677,0.942,1.544,2.54,3.219,0.476,6.746,0.034,0.188,0.187,0,0,,,
Evan Turner,SG,705,3.492,0.255,4.103,0.456,3.901,0.435,8.982,1.497,0.781,1.921,33.169,26.858,0.555,1.967,9.672,0.756,1.798,4.647,3.504,0.46,7.679,0.383,0.277,1.306,0,0,,,
Mike McCarron,G,68,0.929,0,0,0.272,3.488,0.272,12.576,2.694,0.613,4.306,0,0,0,2.806,9.659,0,0,0,3.488,0.272,12.576,0,0,0,0,0,,,
Rick Fox,SF,930,2.861,0.389,2.699,0.498,3.629,0.448,8.103,1.543,0.774,1.998,48.663,25.519,1.09,2.951,9.649,1.046,1.745,3.783,2.811,0.489,5.707,0.822,0.332,2.38,0,0,,,
A.C. Green,PF,1278,1.102,0.429,4.789,0.496,3.556,0.49,7.187,2.431,0.719,3.337,52.395,28.604,2.638,1.899,9.649,0.811,1.123,7.418,3.46,0.504,6.83,0.09,0.166,0.38,1,0,,,
Andrew Bogut,PF,706,2.187,1.526,6.164,0.548,4.233,0.548,7.915,1.179,0.546,2.108,59.918,28.122,2.475,3.107,9.648,0.625,1.702,8.664,4.233,0.549,7.899,0,0.163,0.031,0,0,,,
Mark Jackson,PG,1296,7.98,0.084,2.851,0.477,3.694,0.44,8.275,1.677,0.771,2.173,66.728,30.18,1.003,1.735,9.644,1.236,2.429,3.827,3.134,0.471,6.556,0.565,0.314,1.708,1,1,,,
Howie Dallmar,F,146,2.327,0,0,0.285,3.564,0.285,12.551,2.562,0.694,3.651,0,0,0,2.642,9.632,0,0,0,3.564,0.285,12.551,0,0,0,0,0,,,
Blair Rasmussen,C,532,0.864,0.91,3.954,0.465,4.226,0.464,8.951,1.166,0.77,1.52,40.145,21.442,1.716,3.056,9.631,0.391,0.853,5.646,4.206,0.465,8.897,0.019,0.099,0.071,0,0,,,
Trey Burke,PG,498,3.059,0.107,1.429,0.481,3.713,0.417,9.027,1.069,0.815,1.313,17.894,20.877,0.335,1.279,9.624,0.562,1.102,1.778,2.573,0.453,5.744,1.131,0.356,3.273,0,0,,,
Marcus Fizer,PF,289,1.236,0.275,3.34,0.439,3.838,0.435,8.793,1.923,0.695,2.757,8.817,20.844,1.301,2.22,9.609,0.451,1.474,4.616,3.759,0.445,8.373,0.054,0.16,0.368,0,0,,,
Ernie DiGregorio,PG,312,5.128,0.026,1.524,0.414,4.047,0.414,9.79,1.458,0.895,1.64,0,25.205,0.391,2.12,9.588,0.602,0.3,1.979,4.047,0.414,9.79,0,0,0,0,1,,,
Doug West,SG,676,1.898,0.271,1.697,0.465,3.891,0.461,8.097,1.745,0.785,2.187,40.527,24.641,0.772,2.755,9.587,0.681,1.226,2.471,3.848,0.472,7.818,0.061,0.126,0.299,0,0,,,
Tom Sanders,SF,916,1.123,0,0,0.421,3.726,0.421,8.726,2.121,0.762,2.759,0,24.198,0,3.331,9.583,0,0,6.33,3.726,0.421,8.726,0,0,0,0,0,,,
Mike McGee,SF,520,1.232,0.101,1.118,0.52,4.001,0.488,8.258,0.947,0.604,1.576,18.825,17.828,1.028,1.946,9.567,0.706,1.232,2.163,3.433,0.515,6.592,0.589,0.288,1.666,0,0,,,
Courtney Lee,SG,811,1.669,0.28,2.175,0.519,3.659,0.451,8.095,1.201,0.847,1.401,47.422,27.061,0.448,1.643,9.566,1.007,0.936,2.614,2.564,0.486,5.307,1.085,0.386,2.781,0,0,,,
Earl Tatum,SG,262,1.915,0.38,1.805,0.452,4.224,0.451,9.207,1.129,0.725,1.487,0,19.976,0.813,2.366,9.565,1.234,1.083,2.618,4.212,0.451,9.195,0.013,0.042,0.025,0,0,,,
C.J. Miles,PG,849,1.082,0.306,1.933,0.496,3.391,0.41,8.253,1.291,0.806,1.578,23.389,20.361,0.443,2.103,9.558,0.697,0.863,2.377,1.926,0.459,4.159,1.466,0.349,4.1,0,0,,,
Pat Cummings,C,683,1.184,0.247,3.899,0.497,4.007,0.497,8.057,1.559,0.731,2.106,29.596,21.262,1.71,2.984,9.558,0.518,1.669,5.586,4.007,0.499,8.034,0,0,0.014,0,0,,,
Kyle Macy,PG,551,3.989,0.088,1.645,0.522,3.951,0.499,7.873,1.318,0.863,1.504,36.642,25.846,0.562,1.987,9.548,1.142,1.293,2.219,3.62,0.525,6.837,0.358,0.322,1.025,0,0,,,
Gordan Giriček,SG-SF,384,1.521,0.119,2.01,0.49,3.71,0.443,8.4,1.398,0.827,1.692,34.148,22.99,0.441,1.964,9.545,0.593,1.328,2.432,2.942,0.468,6.339,0.754,0.369,2.061,0,0,,,
Ernie Vandeweghe,F-G,224,2.479,0,0,0.419,3.668,0.419,8.65,2.234,0.744,3.002,0,16.062,0,3.374,9.537,0,0,3.705,3.668,0.419,8.65,0,0,0,0,0,,,
Darwin Cook,SG,612,3.669,0.333,1.441,0.457,4.045,0.452,8.937,1.328,0.773,1.732,18.541,23.121,0.69,2.149,9.536,1.717,1.833,2.131,3.959,0.466,8.489,0.077,0.19,0.474,0,0,,,
Tyrone Nesby,SF,255,1.449,0.348,2.525,0.447,3.58,0.408,8.88,1.6,0.764,2.044,28.961,26.111,1.137,2.609,9.535,1.022,1.052,3.69,2.846,0.437,6.523,0.759,0.31,2.358,0,0,,,
Allen Leavell,PG,700,4.778,0.174,1.234,0.459,3.662,0.446,8.083,2.058,0.828,2.477,27.133,23.213,0.422,2.124,9.535,1.328,1.881,1.675,3.422,0.472,7.227,0.177,0.218,0.857,0,0,,,
Bob Kinney,C-F,118,1.503,0,0,0.35,3.359,0.35,9.466,2.859,0.605,4.661,0,0,0,4.053,9.527,0,0,0,3.359,0.35,9.466,0,0,0,0,0,,,
J.J. Hickson,C,534,0.834,0.574,4.615,0.508,3.845,0.508,7.592,1.853,0.624,2.998,43.27,22.322,2.204,1.94,9.524,0.509,1.448,6.831,3.845,0.51,7.554,0,0,0.028,0,0,,,
Curtis Perry,C,480,1.901,0.602,4.068,0.448,3.958,0.448,8.725,1.596,0.683,2.298,0,28.449,2.134,3.48,9.52,0.803,0.131,8.835,3.958,0.448,8.725,0,0,0,0,0,,,
George Irvine,SF,325,1.3,0.082,1.903,0.523,3.94,0.515,7.589,1.561,0.801,1.891,0,19.863,1.039,2.603,9.516,0.183,1.218,2.941,3.81,0.529,7.187,0.117,0.271,0.391,0,0,,,
John Abramovic,F,56,0.62,0,0,0.211,3.625,0.211,15.225,2.246,0.672,3.318,0,0,0,3.03,9.512,0,0,0,3.625,0.211,15.225,0,0,0,0,0,,,
Marcus Camby,C,973,1.886,2.405,7.097,0.464,3.873,0.463,8.302,1.759,0.656,2.623,51.995,29.469,2.684,2.766,9.505,0.982,1.393,9.782,3.849,0.466,8.213,0.011,0.151,0.088,0,1,,,
Jaylen Wells,SF,6,1.7,0.2,2.3,0.463,3.3,0.37,9,1.2,0.636,1.8,1,23,1,2,9.5,0.3,1,3.3,1.7,0.37,4.5,1.7,0.37,4.5,0,0,,,
Jay Williams,PG,75,4.7,0.2,2.2,0.446,3.6,0.399,9.1,1.4,0.64,2.1,54,26.1,0.4,2.4,9.5,1.1,2.3,2.6,2.8,0.431,6.4,0.9,0.322,2.7,0,0,,,
D.J. Augustin,PG,976,3.854,0.015,1.546,0.5,3.071,0.409,7.441,2.066,0.861,2.371,25.081,23.412,0.297,1.39,9.492,0.579,1.473,1.831,1.766,0.431,4.054,1.297,0.381,3.385,0,0,,,
Grant Long,PF,1003,1.711,0.361,3.967,0.466,3.467,0.46,7.403,2.479,0.756,3.269,50.706,28.427,2.171,2.945,9.492,1.197,1.637,6.148,3.376,0.468,7.13,0.088,0.184,0.295,0,0,,,
Calbert Cheaney,SG,825,1.692,0.249,2.293,0.473,4.087,0.461,8.76,1.081,0.664,1.565,44.853,26.672,0.892,2.52,9.486,0.815,1.198,3.17,3.827,0.477,7.936,0.249,0.184,0.828,0,0,,,
Kevin Gamble,SF,649,2.002,0.28,1.666,0.511,3.954,0.484,7.851,1.242,0.783,1.525,32.889,22.355,0.572,1.899,9.482,0.713,0.896,2.25,3.613,0.497,6.896,0.339,0.275,1.001,0,0,,,
Pervis Ellison,C,474,1.449,1.595,4.394,0.498,3.862,0.498,7.57,1.768,0.684,2.567,29.063,24.456,2.293,3.15,9.477,0.605,1.677,6.67,3.862,0.5,7.501,0,0.046,0.043,0,1,,,
Keith Erickson,SF,766,2.609,0.055,1.081,0.432,3.93,0.432,9.059,1.604,0.763,2.068,0,24.59,0.391,2.705,9.461,0.296,0,4.505,3.93,0.432,9.059,0,0,0,0,0,,,
Louie Nelson,SG,224,1.972,0.091,1.474,0.436,3.686,0.436,8.348,2.143,0.732,2.885,0,22.1,0.852,1.957,9.452,0.886,0.221,2.355,3.686,0.436,8.348,0,0,0,0,0,,,
Mark Olberding,PF-SF,946,2.482,0.283,3.821,0.49,3.306,0.49,6.728,2.827,0.808,3.501,24.874,25.051,1.514,3.318,9.449,0.649,1.73,5.317,3.306,0.492,6.696,0,0.039,0.04,0,0,,,
Frank Card,SF,306,1.197,0,3.681,0.456,3.637,0.456,7.931,2.152,0.633,3.408,0,22.539,1.946,2.621,9.448,0,1.793,5.627,3.637,0.458,7.859,0,0.144,0.072,0,0,,,
Anthony Morrow,SG,564,0.886,0.122,1.615,0.535,3.477,0.443,7.757,1.088,0.87,1.23,15.975,21.769,0.54,1.568,9.446,0.538,0.675,2.145,2.029,0.47,4.323,1.436,0.414,3.424,0,0,,,
Fred Hilton,SG,120,1.605,0,0,0.388,4.166,0.388,10.738,1.107,0.756,1.459,0,17.331,0,2.056,9.437,0,0,2.157,4.166,0.388,10.738,0,0,0,0,0,,,
Bones McKinney,SF,318,1.588,0,0,0.303,3.587,0.303,12.079,2.207,0.729,3.12,0,3.408,0,3.214,9.423,0,0,1.177,3.587,0.303,12.079,0,0,0,0,0,,,
Tyrone Hill,PF,801,0.806,0.473,5.557,0.501,3.542,0.501,7.033,2.338,0.644,3.63,51.223,27.952,2.968,3.61,9.416,0.771,1.565,8.552,3.542,0.502,7.017,0,0,0.009,1,0,,,
Johnny Moore,PG,520,7.422,0.234,2.242,0.465,3.838,0.453,8.335,1.531,0.696,2.166,45.265,25.807,0.738,2.543,9.415,1.966,2.235,2.98,3.661,0.475,7.62,0.187,0.193,0.719,0,0,,,
Hakim Warrick,PF,526,0.762,0.298,2.709,0.486,3.376,0.483,6.907,2.603,0.72,3.603,14.856,20.186,1.32,1.862,9.402,0.413,1.19,4.015,3.333,0.492,6.695,0.044,0.114,0.203,0,0,,,
Paul Seymour,G-F,622,3.76,0,0,0.342,3.289,0.342,9.369,2.828,0.785,3.562,0,23.586,0,2.183,9.402,0,0,2.734,3.289,0.342,9.369,0,0,0,3,0,,,
Ryan Dunn,SF,5,0.6,0.4,1.8,0.671,3.6,0.514,7,0,0,0,2,18.6,0.4,3.2,9.4,0.4,0.2,2.2,1.4,0.7,2,2.2,0.44,5,0,0,,,
Fly Williams,SG,71,2,0.1,1.5,0.463,4.2,0.462,9.1,1,0.683,1.4,0,17.5,1,2.2,9.4,0.9,2.5,2.5,4.2,0.469,8.9,0,0.143,0.2,0,0,,,
Tom Burleson,C,446,1.336,1.326,4.207,0.435,3.5,0.435,7.912,2.355,0.705,3.253,0,21.149,2.034,2.96,9.398,0.715,0.524,6.241,3.5,0.436,7.904,0,0,0.008,0,0,,,
Thomas Bryant,C,271,1.026,0.713,3.963,0.62,3.777,0.585,6.333,1.441,0.774,1.838,27.679,18.46,1.447,1.708,9.397,0.317,0.751,5.374,3.31,0.657,5.014,0.463,0.336,1.318,0,0,,,
Paul Silas,PF,1254,2.049,0.111,2.566,0.423,3.431,0.423,7.926,2.547,0.653,3.795,0,27.908,1.622,2.485,9.396,0.287,0.268,9.851,3.431,0.423,7.926,0,0,0,2,0,,,
Amen Thompson,SF,67,2.496,0.585,4.081,0.542,3.803,0.531,7.081,1.752,0.693,2.537,21.284,22.266,2.34,2.307,9.388,1.233,1.582,6.421,3.588,0.588,6.158,0.122,0.153,0.922,0,0,,,
Winston Garland,PG,511,4.746,0.16,2.013,0.438,3.743,0.428,8.702,1.77,0.833,2.118,45.82,26.218,0.821,2.429,9.385,1.325,1.903,2.806,3.616,0.439,8.2,0.157,0.297,0.517,0,0,,,
Leo Barnhorst,SF,344,3.244,0,0,0.362,3.958,0.362,10.737,1.499,0.677,2.257,0,21.156,0,3.022,9.373,0,0,4.378,3.958,0.362,10.737,0,0,0,2,0,,,
Rickey Green,PG,946,5.516,0.051,1.423,0.463,3.782,0.46,8.116,1.742,0.807,2.16,43.109,24.604,0.498,1.538,9.372,1.425,1.671,1.926,3.754,0.467,7.904,0.034,0.162,0.21,1,0,,,
Charles Beasley,SG,281,3.061,0,1.226,0.458,3.365,0.449,7.322,2.55,0.856,2.97,0,26.157,0.245,2.319,9.369,0,1.9,2.526,3.245,0.466,6.899,0.074,0.203,0.451,0,0,,,
Blackie Towery,F-C,128,2.475,0,0,0.297,3.347,0.297,11.359,2.769,0.75,3.656,0,0,0,3.834,9.362,0,0,0,3.347,0.297,11.359,0,0,0,0,0,,,
Tari Eason,PF,109,1.143,0.661,3.873,0.503,3.672,0.456,8.039,1.217,0.731,1.703,3.761,21.382,2.294,2.295,9.36,1.268,1.094,6.092,2.947,0.497,5.969,0.725,0.347,2.145,0,0,,,
Jeff McInnis,PG,576,4.369,0.061,1.604,0.456,3.805,0.43,8.804,1.239,0.778,1.553,42.285,27.667,0.434,2.073,9.359,0.636,1.362,2.031,3.264,0.452,7.227,0.533,0.28,1.627,0,0,,,
Dajuan Wagner,SG,103,1.928,0.131,1.084,0.421,3.393,0.369,9.42,1.573,0.741,2.083,12.66,21.4,0.268,2.063,9.357,0.675,1.301,1.352,2.54,0.383,6.612,0.91,0.328,2.809,0,0,,,
Tom Henderson,PG,650,4.841,0.117,1.717,0.436,3.728,0.436,8.628,1.902,0.745,2.584,2.811,27.221,0.585,1.754,9.356,1.15,1.061,2.301,3.728,0.437,8.609,0,0,0,0,0,,,
Walt Lemon Jr.,PG,11,3.182,0.2,2.255,0.458,4.073,0.437,9.364,0.891,0.7,1.255,1.636,18.345,0.382,1.709,9.345,0.982,1.291,2.636,3.818,0.421,8.836,0.255,0.673,0.527,0,0,,,
Jae Crowder,SF,803,1.589,0.344,3.515,0.516,3.217,0.418,7.684,1.371,0.764,1.765,37.58,24.967,0.685,2.015,9.338,0.982,0.829,4.2,1.677,0.511,3.289,1.537,0.343,4.396,0,0,,,
Jim Fox,C,743,1.615,0.109,1.627,0.477,3.521,0.477,7.332,2.32,0.769,3.018,0,23.273,0.744,2.71,9.331,0.2,0,7.441,3.521,0.477,7.332,0,0,0,0,0,,,
Dave Stallworth,SF,522,1.662,0.014,0.165,0.433,3.611,0.433,8.254,2.091,0.738,2.848,0,20.13,0.116,2.439,9.329,0.057,0,4.697,3.611,0.433,8.254,0,0,0,0,0,,,
Gary Gregor,PF,321,1.41,0,0.156,0.434,4.101,0.433,9.503,1.136,0.726,1.54,0,24.022,0.07,2.462,9.326,0.016,0.031,6.655,4.093,0.432,9.495,0.008,0.052,0.008,0,0,,,
Luke Ridnour,PG,830,4.495,0.195,1.833,0.472,3.533,0.428,8.199,1.54,0.849,1.786,43.755,26.051,0.448,2.154,9.323,0.996,1.633,2.257,2.839,0.456,6.171,0.688,0.345,2.036,0,0,,,
Tre Mann,PG,172,2.255,0.183,2.37,0.49,3.494,0.41,8.555,0.949,0.779,1.203,17.692,21.256,0.449,1.533,9.321,0.822,1.204,2.854,2.102,0.466,4.564,1.358,0.347,3.952,0,0,,,
Walter Piatkowski,PF,157,0.589,0,2.324,0.413,3.936,0.401,9.578,1.207,0.742,1.594,0,20.05,1.599,2.565,9.321,0,1.128,3.919,3.693,0.415,8.805,0.243,0.265,0.869,0,0,,,
Jalen Johnson,PF,153,2.012,0.569,4.658,0.548,3.741,0.502,7.443,1.162,0.677,1.688,21.941,21.158,0.889,1.779,9.312,0.741,1.108,5.546,2.996,0.592,5.272,0.699,0.302,2.208,0,0,,,
Dick Ricketts,PF,212,2.117,0,0,0.327,3.568,0.327,10.794,2.238,0.691,3.24,0,26.8,0,4.098,9.308,0,0,6.317,3.568,0.327,10.794,0,0,0,0,0,,,
Ron Williams,PG,516,3.547,0,0.192,0.441,3.608,0.441,8.174,2.084,0.839,2.511,0,22.242,0.063,2.526,9.307,0.146,0,1.887,3.608,0.441,8.174,0,0,0,0,0,,,
Brent Barry,SG,912,3.167,0.296,2.556,0.571,3.185,0.457,6.921,1.422,0.825,1.738,35.008,25.917,0.495,1.928,9.305,1.037,1.417,3.035,1.634,0.527,3.139,1.531,0.403,3.762,0,0,,,
Antoine Carr,PF,987,1.102,0.938,2.26,0.499,3.711,0.499,7.377,1.871,0.779,2.404,12.617,20.039,1.166,3.098,9.301,0.379,1.202,3.437,3.704,0.501,7.328,0,0.099,0.047,0,0,,,
Speedy Claxton,PG,334,4.331,0.126,1.913,0.415,3.362,0.407,8.237,2.401,0.748,3.136,22.081,25.588,0.566,2.479,9.3,1.498,1.741,2.489,3.234,0.426,7.624,0.13,0.175,0.673,0,0,,,
Len Chappell,PF,670,0.765,0,0.259,0.45,3.633,0.45,8.075,2,0.69,2.861,0,17.908,0.212,2.011,9.3,0,0.094,5.139,3.633,0.45,8.075,0,0,0,1,0,,,
George Glamack,C-F,11,1.7,0,0,0.248,2.7,0.248,11,3.8,0.764,5,0,0,0,2.5,9.3,0,0,0,2.7,0.248,11,0,0,0,0,0,,,
Butch Beard,PG,605,3.626,0.051,1.604,0.485,3.606,0.485,7.43,2.061,0.757,2.686,0,23.611,0.798,2.612,9.295,0.823,0.264,3.366,3.606,0.485,7.43,0,0,0,1,0,,,
Gradey Dick,SG,65,1.138,0.046,1.723,0.527,3.462,0.43,7.877,0.908,0.865,1.123,16.077,21.862,0.508,1.631,9.292,0.631,0.831,2.138,1.908,0.504,3.692,1.554,0.363,4.185,0,0,,,
Kenny Thomas,PF,632,1.537,0.431,4.577,0.469,3.642,0.462,7.871,1.895,0.651,2.721,45.894,27.402,2.273,2.51,9.29,0.836,1.68,6.862,3.549,0.474,7.479,0.081,0.108,0.38,0,0,,,
Cedi Osman,SF,476,1.969,0.142,2.535,0.539,3.369,0.442,7.792,1.07,0.694,1.485,26.805,22.73,0.44,1.92,9.286,0.667,1.026,2.975,1.876,0.537,3.586,1.493,0.361,4.193,0,0,,,
Bob Houbregs,PF,281,1.79,0,0,0.401,3.215,0.401,7.985,2.831,0.718,3.938,0,23.905,0,2.462,9.281,0,0,5.523,3.215,0.401,7.985,0,0,0,0,0,,,
Andrew Nembhard,SG,148,4.333,0.147,1.865,0.529,3.766,0.466,8.132,0.717,0.795,0.827,53.689,26.324,0.483,2.242,9.278,0.903,1.611,2.394,2.738,0.533,5.149,1.028,0.345,2.983,0,0,,,
Dave Twardzik,PG,536,3.411,0.086,1.621,0.525,3.092,0.523,5.85,3.071,0.819,3.782,0,24.726,0.791,2.731,9.276,1.194,1.903,2.414,3.067,0.527,5.777,0.031,0.165,0.106,1,0,,,
John Salmons,PG,895,2.45,0.262,2.432,0.474,3.366,0.421,7.797,1.72,0.773,2.167,36.007,26.458,0.483,1.864,9.267,0.847,1.327,2.891,2.539,0.445,5.574,0.807,0.353,2.219,0,0,,,
Brandin Podziemski,SG,79,3.732,0.225,4.175,0.522,3.744,0.448,8.347,0.668,0.625,1.056,26.354,26.765,1.613,1.638,9.263,0.8,1.238,5.787,2.451,0.5,4.982,1.2,0.374,3.365,0,0,,,
Kleggie Hermsen,C-F,288,1.293,0,0,0.294,3.331,0.294,11.258,2.578,0.649,3.947,0,0.215,0,3.634,9.263,0,0,1.619,3.331,0.294,11.258,0,0,0,0,0,,,
Jodie Meeks,SG,539,1.095,0.087,1.786,0.512,3.088,0.414,7.372,1.646,0.877,1.876,27.024,22.47,0.29,1.159,9.258,0.762,0.76,2.064,1.657,0.464,3.506,1.445,0.368,3.84,0,0,,,
Ivica Zubac,C,509,1.182,0.963,4.983,0.607,3.759,0.606,6.107,1.771,0.739,2.389,51.509,21.583,2.459,2.394,9.253,0.323,1.15,7.451,3.759,0.609,6.071,0,0.035,0.022,0,0,,,
Bernie Williams,SG,283,1.952,0,0.599,0.402,3.802,0.397,9.349,1.537,0.823,1.889,0,18.266,0.394,1.881,9.251,0.004,0.935,1.874,3.69,0.405,8.892,0.084,0.13,0.428,0,0,,,
Hank Whitney,PF,145,1.121,0,2.851,0.406,3.598,0.406,8.833,2.087,0.677,3.028,0,20.892,1.47,3.461,9.242,0,1.459,7.612,3.598,0.407,8.833,0,0,0,0,0,,,
Trevor Ruffin,PG,110,2.885,0,1.132,0.502,3.142,0.415,7.66,1.598,0.768,2.02,13.2,16.981,0.255,1.71,9.236,0.522,1.776,1.443,1.843,0.451,4.218,1.299,0.374,3.497,0,0,,,
Steven Adams,C,708,1.536,0.963,4.51,0.58,3.843,0.58,6.538,1.542,0.535,2.889,65.089,26.809,3.68,2.467,9.234,0.882,1.459,8.195,3.843,0.581,6.502,0,0.03,0.008,0,0,,,
Jonny Flynn,PG,163,3.879,0.05,1.629,0.432,3.37,0.388,8.485,1.764,0.791,2.131,43.031,22.921,0.267,1.096,9.233,0.728,2.337,1.912,2.689,0.409,6.312,0.745,0.331,2.173,0,0,,,
Howard Porter,SF,457,0.463,0.449,2.34,0.465,4.053,0.465,8.575,1.188,0.798,1.474,0,18.684,1.112,1.791,9.229,0.336,0.124,4.085,4.053,0.465,8.575,0,0,0,0,0,,,
Jae'Sean Tate,SF,245,2.217,0.38,3.056,0.533,3.676,0.489,7.369,1.278,0.692,1.802,44.359,23.733,1.487,3.084,9.224,0.877,1.322,4.514,3.004,0.567,5.264,0.669,0.302,2.136,0,0,,,
