player,pos,g,ast_per_game,blk_per_game,drb_per_game,e_fg_percent,fg_per_game,fg_percent,fga_per_game,ft_per_game,ft_percent,fta_per_game,gs,mp_per_game,orb_per_game,pf_per_game,pts_per_game,stl_per_game,tov_per_game,trb_per_game,x2p_per_game,x2p_percent,x2pa_per_game,x3p_per_game,x3p_percent,x3pa_per_game,all_star_selections,major_award_count,278.225,210.797,267.271
Aron Baynes,C,522,0.786,0.47,3.071,0.506,2.376,0.49,4.871,0.995,0.798,1.262,20.684,16.022,1.544,2.244,5.977,0.218,0.859,4.576,2.164,0.516,4.176,0.202,0.144,0.695,0,0,,,
Richie Niemiera,G-F,115,1.804,0,0,0.33,1.943,0.33,5.896,2.035,0.773,2.635,0,0,0,1.683,5.974,0,0,0,1.943,0.33,5.896,0,0,0,0,0,,,
Milt Schoon,C,103,0.962,0,0,0.333,1.843,0.333,5.502,2.245,0.562,3.685,0,0,0,2.583,5.97,0,0,0,1.843,0.333,5.502,0,0,0,0,0,,,
Stan Noszka,G,110,0.627,0,0,0.273,2.305,0.273,8.273,1.358,0.639,2.016,0,0,0,2.475,5.969,0,0,0,2.305,0.273,8.273,0,0,0,0,0,,,
Mark Eaton,C,875,0.967,3.509,5.811,0.469,2.378,0.469,5.195,1.223,0.645,1.884,74.439,28.774,2.138,3.377,5.968,0.411,1.469,7.921,2.378,0.469,5.185,0,0,0,1,2,,,
Troy Williams,SF,72,0.712,0.3,1.975,0.507,2.312,0.45,5.221,0.7,0.643,1.071,6.958,16.354,0.675,1.825,5.967,0.812,0.838,2.65,1.712,0.545,3.208,0.6,0.298,2.013,0,0,,,
Lorenzo Romar,PG,291,3.505,0.124,1.114,0.461,2.469,0.456,5.356,0.951,0.755,1.256,23.124,17.82,0.245,1.332,5.964,0.846,1.189,1.332,2.39,0.472,5.042,0.052,0.229,0.311,0,0,,,
Andrew Nicholson,PF,285,0.441,0.333,2.352,0.488,2.487,0.459,5.318,0.683,0.754,0.929,9.123,14.316,0.651,1.612,5.963,0.253,0.751,3.017,2.187,0.493,4.384,0.3,0.224,0.947,0,0,,,
Torrey Craig,SF,433,1.074,0.563,2.741,0.542,2.285,0.452,5.036,0.488,0.706,0.685,26.942,19.881,1.258,2.068,5.961,0.527,0.66,4.008,1.373,0.559,2.436,0.926,0.348,2.614,0,0,,,
Henry Walker,SF,181,0.85,0.157,1.891,0.564,2.112,0.464,4.776,0.645,0.756,0.847,5.989,16.672,0.319,2.075,5.961,0.507,0.78,2.21,1.058,0.546,1.948,1.054,0.315,2.829,0,0,,,
Joey Graham,SF,377,0.562,0.142,2.053,0.497,2.286,0.483,4.726,1.266,0.811,1.566,15.7,16.232,0.715,2.133,5.959,0.37,0.816,2.816,2.112,0.504,4.22,0.137,0.294,0.485,0,0,,,
Ray McCallum,PG,154,2.425,0.2,1.514,0.444,2.401,0.404,5.963,0.638,0.73,0.929,17.766,18.22,0.523,1.243,5.958,0.535,0.997,1.967,1.955,0.424,4.584,0.473,0.339,1.353,0,0,,,
P.J. Hairston,SG,111,0.559,0.241,2.016,0.43,2.078,0.342,6.119,0.759,0.813,0.919,31.73,18.035,0.441,1.816,5.957,0.5,0.559,2.357,0.978,0.412,2.459,1.1,0.294,3.659,0,0,,,
Alex Hannum,PF,516,1.669,0,0,0.353,2.303,0.353,6.479,1.385,0.634,2.202,0,14.928,0,3.789,5.956,0,0,3.904,2.303,0.353,6.479,0,0,0,0,0,,,
Ken Bannister,PF,253,0.424,0.277,2.438,0.494,2.332,0.494,4.726,1.297,0.475,2.668,19.806,15.277,1.094,2.662,5.955,0.423,1.351,3.532,2.332,0.497,4.722,0,0,0.004,0,0,,,
Chucky Brown,SF,694,0.793,0.31,2.129,0.49,2.477,0.488,5.029,0.985,0.689,1.39,27.225,17.241,0.959,1.705,5.953,0.331,0.773,3.107,2.438,0.495,4.875,0.021,0.123,0.155,0,0,,,
Dane Suttle,SG,46,1.083,0,0.587,0.503,2.478,0.503,4.983,0.909,0.87,1.083,0.87,10.696,0.435,1.109,5.952,0.461,0.722,1.109,2.478,0.515,4.87,0,0,0.113,0,0,,,
Day'Ron Sharpe,PF,141,0.991,0.655,2.883,0.574,2.471,0.563,4.369,0.939,0.613,1.535,3.27,13.216,2.407,1.987,5.949,0.343,0.987,5.333,2.371,0.574,4.112,0.1,0.366,0.2,0,0,,,
John Smith,C,147,0.8,0,5.524,0.383,2.39,0.383,6.195,1.167,0.568,2.086,0,22.867,2.738,3.49,5.948,0,1.357,8.262,2.39,0.384,6.148,0,0,0,0,0,,,
Nate McMillan,PG,796,6.168,0.467,2.897,0.48,2.307,0.442,5.182,0.964,0.649,1.49,35.619,25.701,1.146,3.021,5.945,1.956,1.881,4.052,1.942,0.467,4.105,0.368,0.312,1.092,0,0,,,
Kevin Séraphin,PF,423,0.579,0.705,2.255,0.489,2.684,0.489,5.487,0.586,0.726,0.801,4.934,15.19,1.187,2.13,5.943,0.203,1.052,3.443,2.684,0.491,5.476,0,0,0,0,0,,,
Rodney Carney,SF,299,0.446,0.313,1.392,0.483,2.266,0.42,5.347,0.769,0.713,1.091,10.682,15.36,0.546,1.426,5.943,0.559,0.508,1.961,1.577,0.471,3.383,0.666,0.34,1.988,0,0,,,
Ed Davis,PF,722,0.75,0.783,4.185,0.568,2.458,0.568,4.327,1.03,0.587,1.774,9.737,19.058,2.213,2.436,5.94,0.481,0.728,6.4,2.458,0.568,4.327,0,0,0,0,0,,,
Brent Price,PG,418,2.966,0.022,1.214,0.503,1.973,0.413,4.59,1.161,0.818,1.411,14.093,16.756,0.43,1.836,5.94,0.74,1.491,1.643,1.112,0.456,2.347,0.87,0.347,2.245,0,0,,,
Glenn Robinson III,SG-SF,304,0.771,0.197,1.85,0.504,2.253,0.443,4.949,0.779,0.771,1.002,20.451,17.441,0.675,0.926,5.936,0.509,0.506,2.567,1.633,0.486,3.259,0.62,0.358,1.695,0,0,,,
Bobby Washington,PG,118,3.464,0,0,0.391,2.088,0.391,5.269,1.753,0.771,2.306,0,15.199,0,2.046,5.93,0,0.008,1.987,2.088,0.391,5.269,0,0,0,0,0,,,
Jimmy O'Brien,PG,303,4.095,0,1.452,0.406,2.402,0.401,5.904,1.125,0.824,1.347,0,20.296,0.607,1.731,5.927,0.68,1.752,2.084,2.324,0.415,5.573,0.078,0.153,0.333,0,0,,,
DeAndre' Bembry,SF,296,1.814,0.398,2.586,0.515,2.433,0.482,5.125,0.71,0.586,1.134,10.98,19.153,0.643,1.808,5.92,0.988,1.239,3.227,2.052,0.544,3.861,0.353,0.277,1.255,0,0,,,
Željko Rebrača,C,215,0.396,0.767,2.301,0.527,2.291,0.527,4.307,1.412,0.795,1.788,4.084,15.251,0.886,2.367,5.919,0.269,0.92,3.203,2.291,0.527,4.307,0,0,0,0,0,,,
Marcus Banks,PG,348,2.098,0.193,1.2,0.461,2.142,0.424,4.941,1.305,0.763,1.682,6.204,16.004,0.295,1.943,5.918,0.764,1.253,1.482,1.801,0.461,3.832,0.358,0.305,1.096,0,0,,,
Timothé Luwawu-Cabarrot,SF,328,0.891,0.115,1.62,0.488,1.956,0.391,5.039,0.982,0.822,1.169,10.552,16.005,0.384,1.861,5.914,0.409,0.705,2.004,1.001,0.467,2.121,0.955,0.334,2.887,0,0,,,
Joe Hassett,SG,292,1.327,0.044,0.719,0.475,2.433,0.425,5.791,0.357,0.844,0.413,0.507,12.462,0.355,1.232,5.912,0.416,0.598,1.074,1.785,0.462,3.82,0.648,0.216,1.971,0,0,,,
Kevin Loder,SF,148,1.163,0.274,1.518,0.465,2.454,0.461,5.319,0.944,0.693,1.344,12.034,14.134,0.792,1.788,5.911,0.441,1,2.261,2.402,0.466,5.204,0.052,0.273,0.163,0,0,,,
Maurice King,PG,38,3.753,0,0,0.396,2.566,0.396,6.539,0.779,0.802,0.903,0,25.621,0,2.416,5.911,0,0,2.832,2.566,0.396,6.539,0,0,0,0,0,,,
Noah Clowney,PF,28,0.693,0.646,2.4,0.562,2.2,0.495,4.607,0.882,0.754,1.211,3.464,16.118,1.082,1.368,5.907,0.318,0.682,3.482,1.575,0.572,2.743,0.625,0.353,1.864,0,0,,,
Xavier Tillman Sr.,PF,232,1.369,0.539,2.641,0.541,2.472,0.514,4.836,0.662,0.559,1.13,14.625,17.278,1.455,1.555,5.905,0.869,0.677,4.07,2.264,0.568,3.906,0.28,0.267,0.93,0,0,,,
Elmore Spencer,C,157,0.708,1.091,2.717,0.504,2.479,0.504,4.813,0.945,0.57,1.571,32.586,16.837,0.836,2.118,5.903,0.341,1.585,3.553,2.479,0.505,4.813,0,0,0.012,0,0,,,
Gene Conley,PF,351,0.585,0,0,0.366,2.349,0.366,6.391,1.147,0.649,1.747,0,16.515,0,3.21,5.901,0,0,6.293,2.349,0.366,6.391,0,0,0,0,0,,,
Nick Smith Jr.,SG,51,1.2,0.1,1.1,0.5,2.2,0.391,5.7,0.3,0.867,0.3,0,14.3,0.4,1.1,5.9,0.2,0.8,1.4,1,0.35,2.8,1.2,0.432,2.9,0,0,,,
Tosan Evbuomwan,SF,17,0.9,0.3,2.5,0.592,2.1,0.507,4.2,1,0.68,1.5,8,21.6,1.1,1.4,5.9,0.4,0.5,3.5,1.4,0.615,2.3,0.7,0.375,1.9,0,0,,,
Darius Miller,SF,271,1.365,0.228,1.476,0.542,1.977,0.418,4.79,0.6,0.855,0.714,6.292,19.772,0.19,1.951,5.9,0.434,0.631,1.666,0.729,0.51,1.483,1.265,0.374,3.331,0,0,,,
Dan Hester,C,42,0.8,0,3.6,0.406,2.3,0.396,5.8,1.2,0.817,1.4,0,13.2,2,2,5.9,0,1,5.6,2.2,0.395,5.5,0.1,0.417,0.3,0,0,,,
Lionel Malamed,G,44,1.4,0,0,0.334,2.2,0.334,6.6,1.5,0.831,1.8,0,0,0,1.2,5.9,0,0,0,2.2,0.334,6.6,0,0,0,0,0,,,
Art Hillhouse,C,71,0.638,0,0,0.276,1.892,0.276,6.838,2.108,0.737,2.893,0,0,0,2.362,5.892,0,0,0,1.892,0.276,6.838,0,0,0,0,0,,,
D.J. White,PF,138,0.57,0.409,2.289,0.505,2.536,0.505,4.993,0.81,0.707,1.175,4.623,15.297,0.851,1.417,5.886,0.299,0.46,3.18,2.536,0.506,4.959,0,0.42,0,0,0,,,
Mike Barr,SG,307,2.804,0.133,1.461,0.482,2.461,0.479,5.106,0.942,0.749,1.278,0,20.661,0.611,1.936,5.884,0.666,1.39,2.072,2.417,0.482,5.019,0.018,0.191,0.095,0,0,,,
Nick Collison,C,910,1.033,0.507,3.223,0.543,2.423,0.54,4.558,1.01,0.715,1.379,14.636,20.436,1.947,2.759,5.883,0.487,0.974,5.169,2.4,0.549,4.447,0.015,0.061,0.094,0,0,,,
Brad Lohaus,PF,656,1.094,0.755,2.106,0.496,2.334,0.434,5.343,0.587,0.714,0.788,13.48,15.832,0.73,1.985,5.88,0.464,0.859,2.867,1.754,0.462,3.701,0.59,0.313,1.657,0,0,,,
Tom Hoover,C,223,1.056,0,1.474,0.44,2.142,0.438,4.819,1.561,0.605,2.474,0,19.182,0.642,3.333,5.88,0,1.388,6.213,2.111,0.438,4.788,0.031,0.126,0.031,0,0,,,
Drew Eubanks,PF,326,0.969,0.849,3.098,0.612,2.323,0.605,3.869,1.135,0.742,1.517,15.531,15.851,1.477,1.669,5.878,0.369,0.869,4.597,2.291,0.61,3.729,0.048,0.613,0.116,0,0,,,
Jordan Hamilton,SF,151,0.868,0.211,2.262,0.494,2.28,0.408,5.565,0.47,0.561,0.716,5.854,13.899,0.569,0.952,5.878,0.479,0.691,2.83,1.362,0.437,3.036,0.935,0.366,2.536,0,0,,,
Ed Manning,PF,604,0.82,0.043,1.728,0.443,2.526,0.442,5.623,0.817,0.764,1.093,0,16.942,0.665,2.392,5.869,0.225,0.545,4.491,2.526,0.443,5.599,0,0.068,0,0,0,,,
Peyton Watson,SG,107,0.96,0.96,2.216,0.513,2.272,0.463,4.933,0.829,0.65,1.221,3.421,16.227,0.618,1.542,5.868,0.407,0.599,2.83,1.748,0.535,3.32,0.524,0.319,1.617,0,0,,,
Chimezie Metu,PF,260,0.757,0.352,2.828,0.536,2.277,0.499,4.585,0.907,0.784,1.162,7.8,13.693,0.68,1.253,5.867,0.532,0.762,3.487,1.856,0.576,3.174,0.41,0.238,1.377,0,0,,,
Jahidi White,PF,334,0.186,1.057,3.694,0.511,2.22,0.511,4.313,1.447,0.527,2.705,43.74,17.728,2.105,2.646,5.857,0.379,1.197,5.835,2.22,0.512,4.313,0,0,0,0,0,,,
Glen Gondrezick,SF,435,1.391,0.285,2.821,0.471,2.236,0.471,4.747,1.348,0.713,1.868,0.349,17.356,1.699,2.522,5.855,1.134,1.037,4.537,2.236,0.473,4.716,0,0.045,0.014,0,0,,,
Jim Brewer,PF,703,1.47,0.703,3.98,0.455,2.544,0.455,5.673,0.759,0.515,1.316,0.909,22.671,2.356,2.167,5.854,0.798,0.468,6.336,2.544,0.458,5.663,0,0.017,0.02,0,0,,,
Mike Muscala,PF,548,0.867,0.462,2.309,0.547,2.097,0.452,4.617,0.724,0.82,0.878,4.599,15.043,0.779,1.42,5.853,0.306,0.567,3.102,1.155,0.541,2.078,0.945,0.356,2.556,0,0,,,
Billy Schaeffer,SF,137,0.657,0.18,1.368,0.475,2.521,0.47,5.362,0.755,0.729,1.012,0,13.077,0.761,1.811,5.852,0.38,0.786,2.128,2.501,0.479,5.185,0.02,0.226,0.22,0,0,,,
Samardo Samuels,PF,109,0.434,0.401,2.002,0.441,2.158,0.441,4.882,1.486,0.653,2.323,3.56,15.795,1.372,2.136,5.851,0.367,1.02,3.359,2.158,0.444,4.848,0,0,0.05,0,0,,,
Chris Copeland,PF,171,0.622,0.172,1.218,0.52,2.134,0.422,5.03,0.655,0.754,0.868,7.906,12.368,0.391,1.404,5.844,0.195,0.76,1.579,1.233,0.495,2.556,0.901,0.368,2.45,0,0,,,
Matt Bonner,C,792,0.692,0.272,2.202,0.568,2.216,0.461,4.752,0.423,0.771,0.546,10.751,16.864,0.783,1.65,5.844,0.359,0.383,2.992,1.213,0.509,2.329,1.011,0.412,2.431,0,0,,,
Eldridge Recasner,SG,296,1.764,0.045,1.371,0.491,2.144,0.414,5.004,0.798,0.855,0.873,9.794,17.289,0.444,1.379,5.842,0.433,1.019,1.815,1.321,0.427,3.037,0.808,0.387,1.977,0,0,,,
Sam Williams,SG,323,0.666,0.935,2.3,0.466,2.342,0.466,4.908,1.128,0.616,1.822,14.52,16.082,1.234,2.51,5.839,0.655,0.955,3.895,2.342,0.467,4.908,0,0,0,0,0,,,
Harold Ellis,SF,145,0.619,0.114,0.811,0.519,2.128,0.517,4.076,1.499,0.639,2.251,9.297,13.239,1.209,1.762,5.837,1.113,0.768,2.02,2.128,0.538,3.976,0,0.037,0.148,0,0,,,
Dan Dickau,PG,300,2.519,0.03,1.116,0.456,2.045,0.395,5.04,1.162,0.825,1.392,13.173,15.373,0.261,1.696,5.833,0.567,1.062,1.341,1.435,0.424,3.314,0.573,0.34,1.756,0,0,,,
Joe Holland,SF,186,1.747,0,0,0.333,2.339,0.333,7.068,1.155,0.614,1.862,0,3.962,0,2.868,5.833,0,0,2.724,2.339,0.333,7.068,0,0,0,0,0,,,
Jeremiah Robinson-Earl,C,136,0.849,0.232,2.713,0.532,2.19,0.451,4.974,0.649,0.782,0.849,19.581,16.801,1.272,1.279,5.831,0.499,0.551,3.957,1.373,0.534,2.603,0.825,0.35,2.371,0,0,,,
Bob Lackey,SG,71,1.928,0,1.449,0.434,2.245,0.431,5.077,1.437,0.568,2.394,0,16.876,0.904,2.424,5.831,0.013,1.737,2.354,2.149,0.431,4.982,0,0.383,0.096,0,0,,,
A.J. Price,PG,261,2.185,0.043,1.178,0.454,2.103,0.38,5.524,0.804,0.673,1.061,5.402,15.038,0.258,0.906,5.83,0.489,0.887,1.447,1.287,0.444,2.889,0.834,0.308,2.646,0,0,,,
Arnie Ferrin,F-G,178,1.565,0,0,0.331,2.17,0.331,6.443,1.549,0.688,2.231,0,0,0,2.829,5.825,0,0,1.528,2.17,0.331,6.443,0,0,0,0,0,,,
Felipe López,SG,249,1.011,0.247,1.604,0.443,2.209,0.421,5.104,1.231,0.66,1.825,19.534,16.659,0.851,1.79,5.824,0.653,1.002,2.407,2.014,0.43,4.505,0.195,0.312,0.58,0,0,,,
Ron Riley,PF,264,1.217,0.252,2.237,0.417,2.519,0.417,6.012,0.809,0.686,1.195,0,18.374,1.052,2.508,5.823,0.4,0,5.193,2.519,0.417,6.012,0,0,0,0,0,,,
Pete Cross,C,182,1.037,0,0,0.404,2.231,0.404,5.134,1.398,0.67,1.997,0,20.734,0,2.063,5.82,0,0,8.349,2.231,0.404,5.134,0,0,0,0,0,,,
Chuck Gilmur,F-C,239,1.451,0,0,0.33,2.166,0.33,6.577,1.546,0.572,2.545,0,0,0,3.739,5.82,0,0,0.315,2.166,0.33,6.577,0,0,0,0,0,,,
Trenton Hassell,SG,644,1.762,0.425,1.983,0.453,2.403,0.442,5.404,0.845,0.763,1.132,49.919,25.287,0.842,2.174,5.812,0.434,0.935,2.845,2.257,0.452,4.938,0.146,0.243,0.461,0,0,,,
Bobby Lewis,SG,255,2.186,0,0,0.382,2.205,0.382,5.803,1.392,0.713,1.933,0,16.846,0,1.963,5.812,0,0,2.098,2.205,0.382,5.803,0,0,0,0,0,,,
Shammond Williams,PG,325,2.364,0.045,1.266,0.476,2.067,0.4,5.178,0.874,0.787,1.101,5.535,16.456,0.334,1.174,5.807,0.59,1.025,1.59,1.285,0.426,3.033,0.813,0.365,2.144,0,0,,,
Amir Coffey,SG,256,1.159,0.135,1.489,0.53,2.021,0.442,4.466,0.986,0.791,1.21,13.641,16.858,0.332,1.189,5.806,0.409,0.483,1.841,1.197,0.512,2.279,0.816,0.362,2.204,0,0,,,
